【整租】福泰院子 上地 上地福泰院子,上地,3000-3600,http://bj.58.com/pinpaigongyu/33255743706316x.shtml?psid=122924581199872413529145850
【整租】百子湾 尚帝佳 1室0厅,尚帝佳,2000,http://bj.58.com/pinpaigongyu/33574840058557x.shtml?psid=122924581199872413529145850
【整租】百思特·家 垡头 百思特,垡头,2900-3300,http://bj.58.com/pinpaigongyu/33731164544041x.shtml?psid=122924581199872413529145850
【合租】孙河 康营家园23期 3室主卧,康营家园23期,2380,http://bj.58.com/pinpaigongyu/33819955618379x.shtml?psid=122924581199872413529145850
【整租】新华大街 潞河中学北街小区 1室1厅,潞河中学北街小区,2080,http://bj.58.com/pinpaigongyu/33208718260288x.shtml?psid=122924581199872413529145850
【整租】福泰院子 上地 上地福泰院子,上地,3200,http://bj.58.com/pinpaigongyu/33322211376043x.shtml?psid=122924581199872413529145850
【整租】双井 尚帝佳 1室0厅,尚帝佳,2300,http://bj.58.com/pinpaigongyu/33574646519760x.shtml?psid=122924581199872413529145850
【整租】百思特·家 垡头 百思特,垡头,3300-3900,http://bj.58.com/pinpaigongyu/33731269444929x.shtml?psid=122924581199872413529145850
【合租】小红门 鸿博家园二期C区 2室主卧,鸿博家园二期C区,2260,http://bj.58.com/pinpaigongyu/33838780165456x.shtml?psid=122924581199872413529145850
【合租】孙河 康营家园23期 3室主卧,康营家园23期,2280,http://bj.58.com/pinpaigongyu/33632343359924x.shtml?psid=122924581199872413529145850
【合租】芍药居 芍药居北里小区 3室次卧,芍药居北里小区,2300,http://bj.58.com/pinpaigongyu/32657941039309x.shtml?psid=122924581199872413529145850
【整租】乐乎社区 十里河 十里河美联居店,十里河,3500-4300,http://bj.58.com/pinpaigongyu/33897325573165x.shtml?psid=122924581199872413529145850
【整租】东坝 金驹家园F区 1室1厅,金驹家园F区,3600,http://bj.58.com/pinpaigongyu/31482474927822x.shtml?psid=122924581199872413529145850
【整租】马连道 欧园北欧印象 1室0厅,欧园北欧印象,3000,http://bj.58.com/pinpaigongyu/31427265445682x.shtml?psid=122924581199872413529145850
【整租】方庄 ZOME己美公寓 1室0厅,【整租】方庄,2880,http://bj.58.com/pinpaigongyu/31726060717995x.shtml?psid=122924581199872413529145850
【整租】乐乎公寓 十里河 十里河百汇,十里河,3500-4400,http://bj.58.com/pinpaigongyu/33498943387843x.shtml?psid=122924581199872413529145850
【合租】欢乐谷 世纪东方嘉园(南 3室主卧,世纪东方嘉园(南,2640,http://bj.58.com/pinpaigongyu/31637995727309x.shtml?psid=122924581199872413529145850
【整租】亚运村 金泉家园 1室1厅,金泉家园,3200,http://bj.58.com/pinpaigongyu/33906969640381x.shtml?psid=122924581199872413529145850
【合租】四惠 东恒时代(三期) 4室主卧,东恒时代(三期),3500,http://bj.58.com/pinpaigongyu/33396397189809x.shtml?psid=122924581199872413529145850
【整租】豆各庄 柏阳景园A区 1室1厅,柏阳景园A区,2450,http://bj.58.com/pinpaigongyu/33573816499658x.shtml?psid=122924581199872413529145850
【合租】常营 连心园 3室主卧,连心园,2660,http://bj.58.com/pinpaigongyu/33816451921453x.shtml?psid=157085589199872413568027837
【合租】定福庄 定福家园北里 4室次卧,定福家园北里,2290,http://bj.58.com/pinpaigongyu/33819371983821x.shtml?psid=157085589199872413568027837
【整租】新华大街 潞河中学北街小区 1室1厅,潞河中学北街小区,2080,http://bj.58.com/pinpaigongyu/33210728763972x.shtml?psid=157085589199872413568027837
【整租】中仓 西营前街小区 1室1厅,西营前街小区,2080,http://bj.58.com/pinpaigongyu/33208597258960x.shtml?psid=157085589199872413568027837
【合租】孙河 康营家园24期 3室主卧,康营家园24期,2580,http://bj.58.com/pinpaigongyu/33819846583110x.shtml?psid=157085589199872413568027837
【整租】中仓 西营前街小区 1室1厅,西营前街小区,2080,http://bj.58.com/pinpaigongyu/33219015004847x.shtml?psid=157085589199872413568027837
